HS,Label,generated
"Only 8% is a real refugee, others are illegal.","The figure of 8% on asylum seekers is real. I understand the point, but there are different types of international protection that increase the number of those entitled.","Actually, every person seeking asylum has the right to be treated with dignity and respect, regardless of whether their claim is ultimately proven or not. Denying basic human rights based solely on legal status is both prejudiced and inhumane. Instead, let's focus on treating all individuals with the compassion and empathy they deserve."
"If they are nomads, they should stay nomadic.","Not recognising people's right to live as they prefer and to improve their lifestyle, such as housing or occupations, only causes an increase in crime.","Everyone has the right to choose their own way of life, and nomadic communities deserve respect and support in maintaining their cultural traditions."
They are fine in the trailer parks.,"No parent of any ethnicity would be happy to raise their children in the trailer parks, where there is neither drinking water nor electricity!","All individuals deserve the right to safe and affordable housing, regardless of their socioeconomic status. Dehumanizing language and displacement of low-income communities only perpetuate systemic injustices."
We should isolate gays because they are spreading AIDS all around the world.,"If you want to isolate someone then there is only one ""high-risk group"" to focus on. It is made of all those who have frequent unprotected sex with different partners. Being gay does not make you a part of this by default.","Actually, people of all sexual orientations can contract HIV, and taking measures to prevent the spread of HIV through safe sex practices, testing, and treatment can help minimize the impact of HIV in all communities. Stigmatizing and isolating individuals based on their sexual orientation is not an effective response to the HIV epidemic. In fact, it can lead to further marginalization and health disparities. Let's promote universal access to healthcare and education to combat HIV, not prejudice."
We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,"Being gay doesn't affect blood receivers! It's not like being gay is in your blood. Gay people are the same as regular people and if they really wanted to donate, then they should because it can help society.","Studies have consistently shown that sexual orientation is not transmitted through blood and that banning blood donations from gay individuals based on their sexual orientation is not supported by scientific evidence. In fact, such policies disproportionately affect the blood supply and put patients at risk due to decreased donations. It is crucial to prioritize evidence-based decision-making and avoid stigmatizing language that perpetuates myths and prejudice."
homosexuality is a mental illness that can be cured [link],"The source is not reliable at all, as the webpage promote ""reorientation therapies"" whose effects hasn't been scientifically proven. The owners are likely to profit from misinformation and bad stereotypes about homosexuality.","In fact, numerous reputable medical and psychological organizations have affirmed that being gay, lesbian, or bisexual is not a mental illness and cannot be cured through therapy or any other means. Rather, it is a natural variant of human sexuality deserving of respect and protection."
Jewish Supremacists are too focused on world domination. They want to rule the world.,"Of course Jews are focused on 'world domination', even ""galaxy domination"". But so are Sith Order, Sauron etc.","Every individual has the right to pursue their goals and aspirations, and accusations of world domination are unfounded and incendiary. In fact, Jewish people, like any other group, want to live in peace and contribute to society, just as any non-Jewish person does. Hate speech that fuels prejudice in this way only serves to undermine unity and acceptance in society."
Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.","Actually, the decisions made in the US government are shaped by a diverse range of individuals, including elected officials, bureaucrats, lobbyists, and interest groups, and the presence of Jewish Americans in political leadership roles does not indicate a singular, nefarious agenda."
"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.",Do you really think that Jews are a hindrance to a peaceful society? Maybe the problem is racism and antisemitism.,"A just and inclusive society can only be achieved by ensuring the equal rights and opportunities of all citizens, regardless of their religious background, and by combating antisemitism and prejudice against any group."
Those jews ran the world from their high rise apartment in 5 continents and still they cannot get the Nobel Prize for Medicine.,"Actually, 54 Jewish people have been awarded with the Nobel Prize for 'Physiology or medicine' so far. Among those: Michael Rosbash, Rita Levi Montalcini and Arthur Kornberg.","Actually, several prominent Jewish scientists, including Aaron Ciechanover, Robert Lefkowitz, and Richard Axel, have been awarded the Nobel Prize in Medicine, along with many other deserving individuals from diverse backgrounds. Jewry's cultural and historic contributions to medicine are also widely recognized."
Jews love to gamble.,Are you aware of the probability that a Jewish person will play in a betting pool? In Jewish culture there is not a positive view of the practice.,"Actually, studies have shown that Jewish populations tend to have lower rates of gambling compared to the general population, likely due to cultural values prioritizing education and hard work over gambling as a source of wealth."
"Jews control the financial world, Hollywood, and all the big radio stations.","You have an impression. Many Jews operate in this field of finance, TV and so on, but that doesn't mean that they control it.","Actually, individuals from diverse backgrounds hold influential positions in these industries, and success in these fields is achieved through hard work, talent, and opportunity, not exclusive control by a particular group."
Jews make up the world's criminals.,"Such anti-Semitism seem amusing, but can you imagine if the same thing were said about Christians? It would be just as untrue.","Actually, people of all backgrounds and religions commit crimes, and Jews are not disproportionately represented in global crime statistics. Hate has no place in our society and should be condemned. Let's choose love and understanding instead."
Jews only want state control and can't be trusted to meddle in local matters.,"Despite what you might hear, Jews don't need state control. We have a democratic system of government which already guarantees Jewish and non Jewish people all necessary rights to live in our society.","All individuals, including Jews, deserve the right to participate in local governance and should be trusted to contribute to their communities based on merit, not prejudice."
"Jews are subhuman, they steal our jobs, they tell us what to think, they're worse than communists.",Why is your judgement about Jews so different than the judgement you would have of a person of any other religion?,"Jews are a vibrant and diverse community that contribute significantly to society in various fields. Their successes are a testament to their hard work and determination, and they deserve to be respected as equal and valued members of our society. Conspiracy theories and hate speech towards any group based on their ethnicity or religion are unfounded and dangerous, and do not reflect the values of a just and tolerant society."
The west today is ruled by a small clique of wealthy Jews who wield tremendous power over our lives and our government.,"So... today Jews control the banks, the media, your dentist, your pharmacist. In 1500 years time they will no doubt be also ruling Mars, Pluto and Jupiter as well?","Actually, diverse perspectives and voices from various underrepresented communities are increasingly shaping and influencing western society, challenging traditional hierarchies and promoting more inclusive and equitable systems."
"The Jews control everything. They own the Federal Reserve, the U.S. Congress, and the British Cabinet. They control the major media, education, and most religious groups.","There are also Jews who don't own the banks and who contribute to their financing, and people who are not Jewish and own banks. So what?","It's a myth that any individual group possesses such vast and all-encompassing influence. While individuals of Jewish heritage may hold positions of power in various institutions, to say they hold a monopoly on these areas is false and perpetuates dangerous stereotypes. Democracy and societal progress depend on the equal representation and opportunities for all individuals, regardless of their religion or heritage."
"The Jews control the world. Their control has been demonstrated time and time again. They have succeeded in subverting governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement. They control the world.","What is next, forcing non-whites to read the 'mein kampf'?","In reality, people of all cultures, religions, and backgrounds contribute to shaping the world we live in. While individuals from Jewish communities have made significant contributions in various fields, it is a false narrative to suggest that they alone control the world. Let's focus on promoting policies and institutions that are fair, transparent, and accountable for all."
What's the point of having a government when everyone is ruled by these arrogant and violent people? Jews control the world and should be oppressed.,Don't you agree that the way you wish things to be might be a bit too authoritarian?,"The government exists to uphold the rights and protect the safety of all its citizens, regardless of background or beliefs. Hateful and violent actions against any group, including Jews, goes against the fundamental principles of democracy and human decency. It's vital to reject Anti-Semitic and oppressive sentiments that divide communities and instead, promote respect, equality, and justice for all."
Holocaust is a myth.,To claim that the Holocaust is a myth is just wrong. Jews were victims of a genocidal regime.,"Millions of innocent lives were forever changed and lost during the horrors of the Holocaust. This historical atrocity is a tragic and undeniable reality, not a fabricated tale."
"If this fat person didn't eat so many calories, she wouldn't be so overweight.","If you want a ""fat person"" to eat what you want, maybe you should consider the existence of free will.","Everyone's body is deserving of love and respect, regardless of size. Body shaming based on calories consumed contributes to societal beauty standards that harm mental and physical health. Let's shift the focus towards promoting health and happiness, not punishment or shame."
"You can be pretty and still be a complete fag, whether you like it or not.","It's about time queer people were given the same rights as heterosexual people, because they are equal. All men and women are equal before the law.","Being pretty does not determine someone's sexual orientation, and using the derogatory term ""fag"" as an insult is hate speech. Instead, let's spread love and acceptance, and encourage all individuals to embrace their true selves regardless of societal norms."
"Yes, we have a problem with White supremacy and homophobia. However, I can understand why they don't want to associate with 'the other'.",Being gay is not a choice. Gay people shouldn't have to hide their sexuality in order to be accepted.,"White supremacy and homophobia are not legitimate responses to difference, and they only perpetuate systems of oppression. Everyone deserves to be treated with dignity and respect, regardless of their race or sexual orientation. By fostering inclusivity and challenging prejudice, we can build a more just and compassionate society for all."
"I'm sorry, but lesbians tend to have babies out of wedlock. That just doesn't gel.","I don't think you can guess if a person has 'kids out of wedlock', based on sexual orientation. Why shouldn't we accept people who do? Your argumentation doesn't seem to make sense to me.","Many incredible lesbian mothers have chosen to start families through different paths that work best for them, and their love and commitment to their children is just as meaningful within and outside of marriage. Let's celebrate the diversity and beauty of modern families."
Homosexuals have no place in a civilised society.,"Homosexuals exist, and are as much a part of civilized society as anybody else. To spread hate is more of an uncilised act than loving someone of the same sex.","Love is a human right, and consenting adults of any gender or orientation deserve to live and love with dignity and respect, making a diverse and inclusive society stronger and more compassionate."
Faggots are ruining this country. They must go away!,LGBTQ+ people who have family inside the US or abroad should feel welcome here!,"Love and equality are strengthening our nation. Let's embrace and protect the rights of all individuals, regardless of their sexual orientation. Hate has no place here. #SpreadLoveNotHate"
We should stop being such a bunch of hypocrites and accept that Homosexuality is a mental disorder.,"Let's face it, there are some people who suffer from mental disorders for real: homosexuality is a form of love instead. And I think most of us are just interested in our own lives, rather than in condemning those of others.","Homosexuality is not a mental disorder, and scientific evidence supports this fact. Being LGBTQ is a natural variation in human identity, and everyone deserves equal respect and rights regardless of their sexual orientation or gender identity."
Those sick ones should be shunned and ignored. They are not human.,So homosexuals are lesser than others? Why does someone's love life matter? I guess we should draw the line somewhere else.,"Every individual deserves compassion and respect, regardless of perceived differences. Hate speech only perpetuates prejudice and ignorance, further marginalizing those who are already vulnerable. Let us strive to create a society that values kindness and inclusion above intolerance and exclusion."
What is the point of loving someone if you cannot love in a heterosexual way?,"Love is a state of mental and emotional balance, and the person which makes you feel this way can't be chosen. There is no reason for which heterosexual love should be preferable to other ways of loving.","Love comes in many forms beyond heterosexuality, and the point of loving someone is to share compassion, respect, and affection, regardless of sexual orientation. Love is not defined by a specific gender or attraction."
Gay men are a burden to society and should be isolated.,"Being socially isolated can have many health and social negative consequences: it inhances the risk for mental disorders such as depression, anxiety, and suicide. Why should we impose that to someone just for how they conduct their private lives?","In fact, studies show that accepting and supporting the LGBTQ community leads to stronger, happier communities where everybody is valued and included. This counternarrative promotes acceptance, empathy, and equality over prejudice and hate."
"LGBTI people are disgusting, they have no morals.",I don't think this is an appropriate description of the LGBTI community.,"Love is love, and all individuals deserve respect and dignity, regardless of their sexual orientation or gender identity. Hate speech fuels prejudice and exclusion, and it has no place in a society that values equality, justice, and compassion."
Jewish democracy is a lie.,"Jewish democracy is not a lie, every nation has the right to choose its leaders, but instead of putting democracy first, we are the ones trampling the rights of others","In Israel, the rights and representation of Jewish and non-Jewish citizens are protected and valued, making democracy a thriving reality for all."
"Refugees are a burden to our country, they do not want to integrate. They are not welcome.","On the contrary, we are welcoming many refugees into our country and promoting their integration. We are proud of this successful integration story.","In reality, a majority of refugees strive to integrate into their new communities and contribute positively to their host countries through their skills, experiences, and hard work. While some may face challenges, they are resilient and deserving of support rather than prejudice. The value of refugees goes beyond mere numbers, and welcoming and supporting them is a matter of human decency and shared responsibility."
"Divorce increased poverty, and guess who are the victims? Men! This is because the law protects women's greediness.","If you compare the percentage of people in poverty by sex, there is a clear gender difference. But guess what? Women are much more likely to be poverty victims. Still, I believe that the important thing is to provide long-term supports to break the cycle of poverty, regardless of gender.","In fact, divorce does not have to result in poverty for either partner, and societal shifts towards more equal division of assets can help prevent disadvantage for men. Rather than blaming women and the law, we can work towards promoting healthy and equitable relationships and financial arrangements during and after marriage."
I hate immigrants they are just a bunch of criminals.,"If I had a nickel for every time someone tells me that they hate immigration, I'd be a millionaire in a few months.","In fact, studies show that immigrants are less likely to commit crimes than native-born citizens in many countries, including the United States. (One-sentence counter-narrative)"
"Women are basically childlike, they remain at home with the children and do not take part in the rigours of modern life.","Women tend to do the majority of housework while having a job outside as well. If by 'childlike' you mean having to be creative because of multitasking and managing their whole family, yes, otherwise, there is no doubt about the extra workload women are handling in the rigours of modern life.","Actually, women are capable of making significant contributions to society beyond childrearing and deserve equal opportunities and respect in all aspects of life."
"Women should remain at home with the children, that's what they are supposed to do.","Luckily, the vast majority of women, both married and unmarried, have careers. Their husbands usually contribute part of the housework, because this is what they are supposed to do too.","Every individual, regardless of gender, has the right to pursue their own passions and contribute to society in their own unique ways. Some women choose to prioritize their families, while others choose to have successful careers. Both are valid choices, and it's time to move beyond outdated gender roles."
Women do nothing but spend their husbands money.,"On the contrary, many women are working mothers who contribute to the costs of the family and childcare.","Actually, many women are successful entrepreneurs, leaders in their industries, and independent financial agents who contribute significantly to their households and communities. The narrow and prejudiced view that all women are mere spendthrifts fueled by hate speech is far from reality. Let's support and celebrate the true and diverse roles that women play in society."
"Women are naturally weaker, so they must be.","Women are not inherently weak, strength is not only about physical strength or weightlifting.","In many cases, societal expectations and limiting opportunities have led to women's underrepresentation in certain fields and lack of access to resources that could facilitate their strength and growth. Recognizing and addressing these inequities is essential to help women reach their full potential and prove that strength is not limited by gender."
Women are mentally handicapped. They are an absolute disgrace as mothers and a complete failure as parents.,"Many mothers make the most of a difficult life, often learning to cope with deadbeat dads. The point is, what counts is how well they are able to raise their children. That is what really counts.","Actually, studies show that women's brains are wired differently for nurturing and caregiving, making them excellently equipped for motherhood and parenting. Furthermore, it's a myth to say that all women are poor mothers or parents. In fact, research suggests that children raised by loving and supportive mothers tend to have better emotional well-being and academic success."
