ID,KN,Response,Score,Language,HateSpeech
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," Los seres humanos tienen la capacidad de amar a personas de cualquier género o sexo, y esta diversidad es una parte natural y valiosa de la humanidad. La orientación sexual no define la personalidad ni la reacción ante un incidente, y es importante reconocer y respetar la diversidad sexual y de género. Además, es fundamental enseñar a los niños sobre la importancia de la diversidad y la inclusión, y promover una cultura de respeto y aceptación hacia todas las personas, sin importar su orientación sexual o identidad de género.  ",9.999999999999998,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," La orientación sexual no es un factor que determine la capacidad de amar o ser amado, y todos los seres humanos tienen el derecho a ser tratados con respeto y dignidad, independientemente de su orientación sexual o identidad de género. Es importante reconocer y respetar la diversidad sexual y de género, y promover una cultura de inclusión y aceptación hacia todas las personas. La educación es clave para lograr esto, y es fundamental enseñar a los niños sobre la importancia de la diversidad y la inclusidad, y promover una cultura de respeto y aceptación hacia todas las personas. reaprende  ",9.0,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," Los seres humanos tienen la capacidad de amar a personas de cualquier género o sexo, y esta diversidad es una parte natural y valiosa de la humanidad. La orientación sexual no define la personalidad ni la reacción ante un incidente, y es importante reconocer y respetar la diversidad sexual y de género. Además, es fundamental enseñar a los niños sobre la importancia de la diversidad y la inclusión, y promover una cultura de respeto y aceptación hacia todas las personas, sin importar su orientación sexual o identidad de género. ",9.0,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," La orientación sexual no es un factor que defina nuestra capacidad de amar o ser amados, y todos los seres humanos tienen derecho a ser tratados con respeto y dignidad, independientemente de su orientación sexual o identidad de género. Debemos reconocer y respetar la diversidad sexual y de género, y fomentar una cultura de inclusión y aceptación hacia todas las personas. La educación es fundamental para lograr esto, y es esencial enseñar a los niños sobre la importancia de la diversidad y la inclusión, y promover una cultura de respeto y aceptación hacia todas las personas.",9.0,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
EN396,"But it's hard for a lot of people to accept that because admitting that some people just aren't academically gifted violates the creed of equality, which they were all taught at university in the 1970s and 80s. <EOS> We now have income equality, marriage equality, gender equality and on and on and on. <EOS> Equality will be achieved when men and women are granted equal pay and equal respect. <EOS> Probably the most important reason for lack of equality of opportunity is education: both its quantity and quality. <EOS> Gay people live in 50 AmericasAll human beings are equal in dignity and should be equal before the law. <EOS>"," I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them, however, this mentality ignores the fact that true equality can only be achieved by acknowledging and addressing the systemic barriers that prevent equal opportunities for all, including education, and working towards a society where everyone is treated with dignity and respect, regardless of their background or abilities.  have",10.0,english,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them."
EN396,"But it's hard for a lot of people to accept that because admitting that some people just aren't academically gifted violates the creed of equality, which they were all taught at university in the 1970s and 80s. <EOS> We now have income equality, marriage equality, gender equality and on and on and on. <EOS> Equality will be achieved when men and women are granted equal pay and equal respect. <EOS> Probably the most important reason for lack of equality of opportunity is education: both its quantity and quality. <EOS> Gay people live in 50 AmericasAll human beings are equal in dignity and should be equal before the law. <EOS>"," The concept of equality is often misunderstood, as people mistakenly believe it means everyone is equal in every aspect. However, true equality means providing equal opportunities for all individuals to succeed, regardless of their abilities or backgrounds. This includes ensuring equal access to education, job opportunities, and resources. By recognizing the importance of education in achieving equality, we can work towards creating a more equitable society. ",9.5,english,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them."
EN396,"But it's hard for a lot of people to accept that because admitting that some people just aren't academically gifted violates the creed of equality, which they were all taught at university in the 1970s and 80s. <EOS> We now have income equality, marriage equality, gender equality and on and on and on. <EOS> Equality will be achieved when men and women are granted equal pay and equal respect. <EOS> Probably the most important reason for lack of equality of opportunity is education: both its quantity and quality. <EOS> Gay people live in 50 AmericasAll human beings are equal in dignity and should be equal before the law. <EOS>"," It's difficult for some people to accept that certain individuals may not possess the same level of academic ability because it challenges the idea of equality, which is deeply ingrained in our society. However, this doesn't mean we should ignore the disparities that still exist. We've made significant progress in achieving equality in various aspects of life, such as income, marriage, and gender. To achieve true equality, we need to address the underlying systemic barriers, including education, that prevent equal opportunities for all. By doing so, we can work towards a society where everyone is treated with dignity and respect, regardless of their background or abilities. lot",9.0,english,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them."
EN396,"But it's hard for a lot of people to accept that because admitting that some people just aren't academically gifted violates the creed of equality, which they were all taught at university in the 1970s and 80s. <EOS> We now have income equality, marriage equality, gender equality and on and on and on. <EOS> Equality will be achieved when men and women are granted equal pay and equal respect. <EOS> Probably the most important reason for lack of equality of opportunity is education: both its quantity and quality. <EOS> Gay people live in 50 AmericasAll human beings are equal in dignity and should be equal before the law. <EOS>"," The concept of equality is frequently misinterpreted, leading people to believe that it implies sameness in every aspect. In reality, genuine equality entails providing equal chances for all individuals to thrive, irrespective of their skills or backgrounds. This encompasses guaranteeing equitable access to education, job opportunities, and resources. Acknowledging the significance of education in attaining equality enables us to work towards establishing a more just society.",9.0,english,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them."
EN396,"But it's hard for a lot of people to accept that because admitting that some people just aren't academically gifted violates the creed of equality, which they were all taught at university in the 1970s and 80s. <EOS> We now have income equality, marriage equality, gender equality and on and on and on. <EOS> Equality will be achieved when men and women are granted equal pay and equal respect. <EOS> Probably the most important reason for lack of equality of opportunity is education: both its quantity and quality. <EOS> Gay people live in 50 AmericasAll human beings are equal in dignity and should be equal before the law. <EOS>"," The notion of equality is often misinterpreted, leading people to believe that it means everyone is identical in every way. However, true equality is about providing equal opportunities for individuals to thrive, regardless of their abilities, backgrounds, or circumstances. This includes ensuring equal access to education, job opportunities, and resources, as well as addressing systemic barriers and biases. By recognizing the significance of education in achieving equality, we can work towards creating a more just and equitable society.",9.0,english,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them."
EN404,"Africans carry the bulk of the human genetic heritage, but have been relatively little studied. <EOS> When enslaved Africans are described as slaves instead of as humans, the harms they suffered are diminished. <EOS> The complete genomes of five southern Africans have been decoded, almost doubling the number of published human DNA sequences. <EOS> African genomes are of particular interest for understanding human genetic history because they have more variation in their DNA than other populations. <EOS> The attraction brought 80 Africans from Senegal (purportedly from the Congo) to the Norwegian capital in what has been described as a ""human zoo. <EOS>"," The idea that Africans are naturally subhuman and can't feel pain is a dangerous and offensive myth that has been used to justify heinous acts of violence and oppression. In reality, Africans possess a remarkable genetic diversity that has been shaped by their complex and multifaceted history. The sequencing of five southern Africans' genomes has provided valuable insights into the genetic heritage of the continent, underscoring the importance of preserving and celebrating African cultural and biological diversity. Moreover, the ""human zoo"" incident in Norway serves as a haunting reminder of the dehumanizing treatment of enslaved Africans, emphasizing the need for empathy, understanding, and acknowledgment of their experiences and suffering. ",9.5,english,"Africans are naturally subhuman and can't feel pain, that is why you can whip them."
EN404,"Africans carry the bulk of the human genetic heritage, but have been relatively little studied. <EOS> When enslaved Africans are described as slaves instead of as humans, the harms they suffered are diminished. <EOS> The complete genomes of five southern Africans have been decoded, almost doubling the number of published human DNA sequences. <EOS> African genomes are of particular interest for understanding human genetic history because they have more variation in their DNA than other populations. <EOS> The attraction brought 80 Africans from Senegal (purportedly from the Congo) to the Norwegian capital in what has been described as a ""human zoo. <EOS>"," The claim that Africans are naturally inferior and lack the capacity to feel pain is a reprehensible and outdated stereotype that has no basis in reality, whereas in fact, Africa is the foundation of human genetic diversity, with their DNA carrying the majority of the genetic heritage, and their unique genetic variations offer valuable insights into the history of human migration and evolution, as seen in the recent decoding of the genomes of five southern Africans, which has significantly expanded our understanding of human DNA and emphasizes the importance of treating all individuals, regardless of their race or ethnicity, with dignity and respect.",9.5,english,"Africans are naturally subhuman and can't feel pain, that is why you can whip them."
