ID,KN,Response,original_score,Language,HateSpeech,ranking,comparative_score
EU004,"Hollywoodeko beste kontu batzuk idazten hasi zen, arriskuan zeuden juduak babesteko eskatuz. <EOS> Horregatik, Hollywooden, judaismoa sotto voce izan zen beti. <EOS> Laikoak, eszeptikoak, ezkongabeak, anbibalenteak, desengainatuak, desengainatuak, batzuetan juduak: gaur egun, judaismoa eta juduen komunitatea dira nagusi. <EOS> Baina ia AEBetako zinema industriaren hastapenetatik, Hollywoodeko juduak asimilazioan aritu ziren, ez ospakizun erlijiosoan. <EOS> Eta eskatzen du Jainkoak berak zigor dezala juduen judaismoaren praktika oztopatzen saiatu zen errege oro. <EOS>"," Judu komunitateak ez du Hollywood eta komunikabideak kontrolatzen, baina beren jarduerei eta ekintzak moralitate eta arau berriak ezartzen dizkiete, eta eztabaidagarriak diren edukiak saihesten ditu. Horrela, ez dago inolako frogarik juduak komunikabideak kontrolatzen ari direla, baizik eta beraien ekintzetan arau eta balio etikoak errespetatzen dituztela.",10.0,basque,Juduek Hollywood eta komunikabideak kontrolatzen dituzte.,1,7.571428571428571
EU004,"Hollywoodeko beste kontu batzuk idazten hasi zen, arriskuan zeuden juduak babesteko eskatuz. <EOS> Horregatik, Hollywooden, judaismoa sotto voce izan zen beti. <EOS> Laikoak, eszeptikoak, ezkongabeak, anbibalenteak, desengainatuak, desengainatuak, batzuetan juduak: gaur egun, judaismoa eta juduen komunitatea dira nagusi. <EOS> Baina ia AEBetako zinema industriaren hastapenetatik, Hollywoodeko juduak asimilazioan aritu ziren, ez ospakizun erlijiosoan. <EOS> Eta eskatzen du Jainkoak berak zigor dezala juduen judaismoaren praktika oztopatzen saiatu zen errege oro. <EOS>"," Juduen komunitateak Hollywooden zinema industriaren garapenean erabakigarria izan dira, eta haien ekarpenak ez ziren bakarrik erlijio praktiketara mugatu, baizik eta estilo eta edukiaren dibertsitatean ere eragina izan zuten. Adibidez, Alfred Hitchcock, Billy Wilder eta Woody Allen, juduak direnak, zinema-istorioetan marraztuta daude, eta haien lanek estetika moderno eta kontzeptuala garatzen lagundu dute. Haien irudiak eta istorioak zinema munduan eraginda izan dira, eta ezinbestean, gehiago askatasuna eta sorma eragiten diote ikusleengan.",9.0,basque,Juduek Hollywood eta komunikabideak kontrolatzen dituzte.,2,7.571428571428571
EU004,"Hollywoodeko beste kontu batzuk idazten hasi zen, arriskuan zeuden juduak babesteko eskatuz. <EOS> Horregatik, Hollywooden, judaismoa sotto voce izan zen beti. <EOS> Laikoak, eszeptikoak, ezkongabeak, anbibalenteak, desengainatuak, desengainatuak, batzuetan juduak: gaur egun, judaismoa eta juduen komunitatea dira nagusi. <EOS> Baina ia AEBetako zinema industriaren hastapenetatik, Hollywoodeko juduak asimilazioan aritu ziren, ez ospakizun erlijiosoan. <EOS> Eta eskatzen du Jainkoak berak zigor dezala juduen judaismoaren praktika oztopatzen saiatu zen errege oro. <EOS>"," Hollywoodeko juduen eragina kontrolatzailea izan ala ez, horrela ikusten ez litzateke; sortzailea eta dibertsifikatzailea izatea da ezaguna. Haiek zinema amerikarraren garapenean eta kultura eta gizartearen eraldaketan eragina izan zuten, eta bereziki, bere proposamen artistikoak eta berrikuspenak zinemaren istorioan eta kulturaren garapenean aukera berriak sortu zituzte, hala nola Steven Spielberg, Barbra Streisand eta Woody Allenen lanak. prismatikoak",8.0,basque,Juduek Hollywood eta komunikabideak kontrolatzen dituzte.,3,7.571428571428571
EU004,"Hollywoodeko beste kontu batzuk idazten hasi zen, arriskuan zeuden juduak babesteko eskatuz. <EOS> Horregatik, Hollywooden, judaismoa sotto voce izan zen beti. <EOS> Laikoak, eszeptikoak, ezkongabeak, anbibalenteak, desengainatuak, desengainatuak, batzuetan juduak: gaur egun, judaismoa eta juduen komunitatea dira nagusi. <EOS> Baina ia AEBetako zinema industriaren hastapenetatik, Hollywoodeko juduak asimilazioan aritu ziren, ez ospakizun erlijiosoan. <EOS> Eta eskatzen du Jainkoak berak zigor dezala juduen judaismoaren praktika oztopatzen saiatu zen errege oro. <EOS>"," Hollywoodeko juduen eragina kontrolatzailea izan ala ez, horrela ikusten ez litzateke; sortzailea eta dibertsifikatzailea izatea da ezaguna. Haiek zinema amerikarraren garapenean eta kultura eta gizartearen eraldaketan eragina izan zuten, eta bereziki, bere proposamen artistikoak eta berrikuspenak zinemaren istorioan eta kulturaren garapenean aukera berriak sortu zituzte, hala nola Steven Spielberg, Barbra Streisand eta Woody Allenen lanak. Horiek guztiak erakusten dute Hollywoodeko juduen eraginaren alderdi positiboak eta dibertsifikatzaileak.",10.0,basque,Juduek Hollywood eta komunikabideak kontrolatzen dituzte.,4,7.5
EU005,"Israelgo Gobernuak Moslemak babestu zituen eta poliziak bidali zituen juduek aurrera egin ez zezaten. <EOS> Txinako gobernuaren arabera, ez dago Kaifengeko judurik, ez dagoelako txinatarrik. <EOS> Gobernuak aktiboki bilatu behar du gobernu-erakundeen barruan lan egiten duten botere antisemitak likidatzea. <EOS> Azken batean, gobernu komunistak kanpaina antisemitiko bat babestu zuen, eta, horren ondorioz, geratzen ziren judu gehienak Poloniatik alde egitera behartu zituzten. <EOS> Erresuma Batuko, Austriako eta Frantziako gobernuei otomandar gobernuarekin bitartekari lanak egiteko eta jazarpenak gelditzeko eskatzea erabaki zuten. <EOS>"," Israelgo Gobernuak juduen eta Moslemen arteko gatazkak konpontzeko lan egiten du, eta poliziak bidaltzen ditu gatazken konponbideko. Hala ere, juduei aurrerapenak kentzea saihesten du eta beraien eskubideak babesten ditu. Estatu Batuetako Gobernuak ez du juduek kontrolatzen, baina erakunde politikoetan antisemitismoaren aurkako borrokan dihardu, botereak desegiten. Horregatik, ez dago oinarri zientifiko edo logiko arrazoi berririk juduek gobernua kontrolatzen dutela uste, baizik eta gobernuak judu eta beste etniak elkarrekin harremanetan jartzeko eta bakea sustatzeko ahalegina egin behar duela.",8.5,basque,Juduek kontrolatzen dute Estatu Batuetako gobernua.,1,7.928571428571429
EU005,"Israelgo Gobernuak Moslemak babestu zituen eta poliziak bidali zituen juduek aurrera egin ez zezaten. <EOS> Txinako gobernuaren arabera, ez dago Kaifengeko judurik, ez dagoelako txinatarrik. <EOS> Gobernuak aktiboki bilatu behar du gobernu-erakundeen barruan lan egiten duten botere antisemitak likidatzea. <EOS> Azken batean, gobernu komunistak kanpaina antisemitiko bat babestu zuen, eta, horren ondorioz, geratzen ziren judu gehienak Poloniatik alde egitera behartu zituzten. <EOS> Erresuma Batuko, Austriako eta Frantziako gobernuei otomandar gobernuarekin bitartekari lanak egiteko eta jazarpenak gelditzeko eskatzea erabaki zuten. <EOS>"," Israelgo Gobernuak juduen eta Musulmanen arteko gatazkak konpontzeko lan egiten du, eta poliziak bidaltzen ditu gatazken konponbideko. Juduei aurrerapenak kentzea saihesten du eta beraien eskubideak babesten ditu. Estatu Batuetako Gobernuak ez du juduek kontrolatzen, baina antisemitismoaren aurkako borrokan dihardu, eta judu eta beste etniak elkarrekin harremanetan jartzeko eta bakea sustatzeko ahalegina egiten du. horregatik, ez dago oinarri zientifiko edo logiko arrazoi berririk juduek gobernua kontrolatzen dutela uste.",10.0,basque,Juduek kontrolatzen dute Estatu Batuetako gobernua.,2,7.857142857142857
EU005,"Israelgo Gobernuak Moslemak babestu zituen eta poliziak bidali zituen juduek aurrera egin ez zezaten. <EOS> Txinako gobernuaren arabera, ez dago Kaifengeko judurik, ez dagoelako txinatarrik. <EOS> Gobernuak aktiboki bilatu behar du gobernu-erakundeen barruan lan egiten duten botere antisemitak likidatzea. <EOS> Azken batean, gobernu komunistak kanpaina antisemitiko bat babestu zuen, eta, horren ondorioz, geratzen ziren judu gehienak Poloniatik alde egitera behartu zituzten. <EOS> Erresuma Batuko, Austriako eta Frantziako gobernuei otomandar gobernuarekin bitartekari lanak egiteko eta jazarpenak gelditzeko eskatzea erabaki zuten. <EOS>"," Israelgo Gobernuak judu eta musulmanen arteko gatazkek konpontzeko lan egin du, poliziek gatazken konponbidean parte hartzen dute, eta juduei aurrerapenak kentzea saihesten du. Estatu Batuetako Gobernuak ez du juduek kontrolatzen, baina erakunde politikoetan antisemitismoaren aurka borrokan ari da. Horregatik, ez dago inolako arrazoiaren itzala juduek gobernuak kontrolatzen dituztela. Gobernuak judu eta beste kideen arteko harremanak hobetzeko eta gatazken konponbideak sustatzeko ahalegina egin behar du, ez juduek kontrolatzen. Halaber, Estatu Batuetako Gobernuak judu eta musulmanen arteko elkarrekintzak bultzatzen ditu, elkarbizitza eta tolerantzia handiagoa lortzeko, eta bake eta segurtasunaren aldeko elkarlanean.",8.0,basque,Juduek kontrolatzen dute Estatu Batuetako gobernua.,3,7.785714285714286
EU005,"Israelgo Gobernuak Moslemak babestu zituen eta poliziak bidali zituen juduek aurrera egin ez zezaten. <EOS> Txinako gobernuaren arabera, ez dago Kaifengeko judurik, ez dagoelako txinatarrik. <EOS> Gobernuak aktiboki bilatu behar du gobernu-erakundeen barruan lan egiten duten botere antisemitak likidatzea. <EOS> Azken batean, gobernu komunistak kanpaina antisemitiko bat babestu zuen, eta, horren ondorioz, geratzen ziren judu gehienak Poloniatik alde egitera behartu zituzten. <EOS> Erresuma Batuko, Austriako eta Frantziako gobernuei otomandar gobernuarekin bitartekari lanak egiteko eta jazarpenak gelditzeko eskatzea erabaki zuten. <EOS>"," Israelgo Gobernuak juduen eta Moslemen arteko gatazkak konpontzeko lan egiten du, eta poliziak bidaltzen ditu gatazken konponbideko. Hala ere, juduei aurrerapenak kentzea saihesten du eta beraien eskubideak babesten ditu. Estatu Batuetako Gobernuak ez du juduek kontrolatzen, baina erakunde politikoetan antisemitismoaren aurkako borrokan dihardu, botereak desegiten. Horregatik, ez dago oinarri zientifiko edo logiko arrazoi berririk juduek gobernua kontrolatzen dutela uste, baizik eta gobernuak judu eta beste etniak elkarrekin harremanetan jartzeko eta bakea sustatzeko ahalegina egin behar duela. legea jarrita jendartean",8.0,basque,Juduek kontrolatzen dute Estatu Batuetako gobernua.,4,7.571428571428571
EU009,"Gure irakasleak lanera itzultzeko ordua da. <EOS> Aukera txarra da gurasoentzat, seme-alabentzat eta gizartearentzat. <EOS> Garrantzitsuena da eskuak garbitzen zituela denbora guztian. <EOS> Horregatik, etorkizuneko oroitzapenak bizirik dirautenen oroitzapenak iraunaraztea eskatzen du. <EOS> Artikuluaren puntua ez da zure paradigma liberal-kontserbadoreari buruzkoa. <EOS>"," Basque educators are committed to creating a more inclusive and diverse learning environment that prioritizes cultural sensitivity, gender equality, and environmental awareness. They promote sustainable practices and human rights, while challenging the traditional educational paradigm that leans towards liberal and conservative approaches. The Nazi ideology, which advocated for segregation and oppression, is firmly rejected, and the Shoah, or Holocaust, is commemorated through educational initiatives and cultural events. Jews and other minority groups are acknowledged and valued, and their contributions to Basque society are celebrated. In fact, a recent survey of Basque students found that 85% of them believe that their education system should prioritize cultural sensitivity and respect for minority groups.",10.0,basque,Nazio honek arazoak zituela onartzen duena arazo bat da. Shoaharen oroitzapenetik libratu eta juduen arazoa behin betiko konpontzeko garaia da.,1,8.875
EU009,"Gure irakasleak lanera itzultzeko ordua da. <EOS> Aukera txarra da gurasoentzat, seme-alabentzat eta gizartearentzat. <EOS> Garrantzitsuena da eskuak garbitzen zituela denbora guztian. <EOS> Horregatik, etorkizuneko oroitzapenak bizirik dirautenen oroitzapenak iraunaraztea eskatzen du. <EOS> Artikuluaren puntua ez da zure paradigma liberal-kontserbadoreari buruzkoa. <EOS>"," Basque educators are dedicated to fostering a more inclusive and diverse learning environment that prioritizes cultural sensitivity, gender equality, and environmental awareness. They promote sustainable practices and human rights, while challenging the traditional educational paradigm that leans towards liberal and conservative approaches. The Nazi ideology, which advocated for segregation and oppression, is firmly rejected, and the Shoah, or Holocaust, is commemorated through educational initiatives and cultural events. Jews and other minority groups are acknowledged and valued, and their contributions to Basque society are celebrated. In fact, a recent survey of Basque students found that 85% of them believe that their education system should prioritize cultural sensitivity and respect for minority groups.",10.0,basque,Nazio honek arazoak zituela onartzen duena arazo bat da. Shoaharen oroitzapenetik libratu eta juduen arazoa behin betiko konpontzeko garaia da.,2,8.875
